CALENDAR_YEAR,LOCATION_ID,LOCATION,AGE_GROUP_PUBLIC,EXPERIENCING_HOMELESSNESS_CNT
2017,CA-518,Solano County CoC,65+,72
2017,CA-518,Solano County CoC,Under 18,204
2017,CA-518,Solano County CoC,Unknown,24
2017,CA-519,Butte County CoC,18-24,125
2017,CA-519,Butte County CoC,25-34,287
2017,CA-519,Butte County CoC,35-44,210
2017,CA-519,Butte County CoC,45-54,208
2017,CA-519,Butte County CoC,55-64,193
2017,CA-519,Butte County CoC,65+,55
2017,CA-519,Butte County CoC,Under 18,305
2017,CA-519,Butte County CoC,Unknown,18
2017,CA-520,Merced County CoC,18-24,42
2017,CA-520,Merced County CoC,25-34,82
2017,CA-520,Merced County CoC,35-44,118
2017,CA-520,Merced County CoC,45-54,138
2017,CA-520,Merced County CoC,55-64,161
2017,CA-520,Merced County CoC,65+,37
2017,CA-520,Merced County CoC,Under 18,33
2017,CA-520,Merced County CoC,Unknown,*
2017,CA-521,Yolo County CoC,18-24,42
2017,CA-521,Yolo County CoC,25-34,110
2017,CA-521,Yolo County CoC,35-44,89
2017,CA-521,Yolo County CoC,45-54,83
2017,CA-521,Yolo County CoC,55-64,61
2017,CA-521,Yolo County CoC,65+,*
2017,CA-521,Yolo County CoC,Under 18,127
2017,CA-521,Yolo County CoC,Unknown,*
2017,CA-522,Humboldt County CoC,18-24,80
2017,CA-522,Humboldt County CoC,25-34,151
2017,CA-522,Humboldt County CoC,35-44,125
2017,CA-522,Humboldt County CoC,45-54,107
2017,CA-522,Humboldt County CoC,55-64,119
2017,CA-522,Humboldt County CoC,65+,38
2017,CA-522,Humboldt County CoC,Under 18,300
2017,CA-522,Humboldt County CoC,Unknown,22
2017,CA-523,"Colusa, Glenn, Trinity Counties CoC",18-24,23
2017,CA-523,"Colusa, Glenn, Trinity Counties CoC",25-34,32
2017,CA-523,"Colusa, Glenn, Trinity Counties CoC",35-44,20
2017,CA-523,"Colusa, Glenn, Trinity Counties CoC",45-54,*
2017,CA-523,"Colusa, Glenn, Trinity Counties CoC",55-64,*
2017,CA-523,"Colusa, Glenn, Trinity Counties CoC",Under 18,115
2017,CA-523,"Colusa, Glenn, Trinity Counties CoC",Unknown,*
2017,CA-524,"Yuba, Sutter Counties CoC",18-24,*
2017,CA-524,"Yuba, Sutter Counties CoC",Under 18,*
2017,CA-525,El Dorado County CoC,25-34,*
2017,CA-525,El Dorado County CoC,35-44,*
2017,CA-525,El Dorado County CoC,45-54,*
2017,CA-525,El Dorado County CoC,55-64,*
2017,CA-525,El Dorado County CoC,Under 18,128
2017,CA-525,El Dorado County CoC,Unknown,*
2017,CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",18-24,31
2017,CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",25-34,70
2017,CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",35-44,58
2017,CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",45-54,48
2017,CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",55-64,24
2017,CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",65+,*
2017,CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",Under 18,136
2017,CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",Unknown,*
2017,CA-527,Tehama County CoC,18-24,30
2017,CA-527,Tehama County CoC,25-34,79
2017,CA-527,Tehama County CoC,35-44,71
2017,CA-527,Tehama County CoC,45-54,62
2017,CA-527,Tehama County CoC,55-64,78
2017,CA-527,Tehama County CoC,65+,22
2017,CA-527,Tehama County CoC,Under 18,53
2017,CA-527,Tehama County CoC,Unknown,*
2017,CA-529,Lake County CoC,18-24,*
2017,CA-529,Lake County CoC,25-34,*
2017,CA-529,Lake County CoC,35-44,*
2017,CA-529,Lake County CoC,45-54,*
2017,CA-529,Lake County CoC,55-64,*
2017,CA-529,Lake County CoC,65+,*
2017,CA-529,Lake County CoC,Under 18,15
2017,CA-530,"Alpine, Inyo, Mono Counties CoC",18-24,16
2017,CA-530,"Alpine, Inyo, Mono Counties CoC",25-34,22
2017,CA-530,"Alpine, Inyo, Mono Counties CoC",35-44,25
2017,CA-530,"Alpine, Inyo, Mono Counties CoC",45-54,26
2017,CA-530,"Alpine, Inyo, Mono Counties CoC",55-64,21
2017,CA-530,"Alpine, Inyo, Mono Counties CoC",65+,*
2017,CA-530,"Alpine, Inyo, Mono Counties CoC",Under 18,41
2017,CA-530,"Alpine, Inyo, Mono Counties CoC",Unknown,*
2017,CA-531,Nevada County CoC,18-24,42
2017,CA-531,Nevada County CoC,25-34,80
2017,CA-531,Nevada County CoC,35-44,93
2017,CA-531,Nevada County CoC,45-54,88
2017,CA-531,Nevada County CoC,55-64,75
2017,CA-531,Nevada County CoC,65+,24
2017,CA-531,Nevada County CoC,Under 18,62
2017,CA-531,Nevada County CoC,Unknown,*
2017,CA-600,Los Angeles County CoC,18-24,4761
2017,CA-600,Los Angeles County CoC,25-34,7683
2017,CA-600,Los Angeles County CoC,35-44,6408
